신규분류 요약코드,제품군,공정,최소목표일
Si_1-Day_Color_Sph,Clalen O2O2 D_Mute Brown_45% + -02.00,접착,2026-04-12
Si_1-Day_Color_Sph,Clalen O2O2 D_Mute Brown_45% + -02.00,하이드레이션,2026-04-10
Si_1-Day_Color_Sph,Clalen O2O2 D_Mute Brown_45% + -02.25,누수규격,2026-04-13
Si_1-Day_Color_Sph,Clalen O2O2 D_Mute Brown_45% + -02.25,분리,2026-04-09
Si_1-Day_Color_Sph,Clalen O2O2 D_Mute Brown_45% + -02.25,사출,2026-04-08
Si_1-Day_Color_Sph,Clalen O2O2 D_Mute Brown_45% + -02.25,접착,2026-04-12
Si_1-Day_Color_Sph,Clalen O2O2 D_Mute Brown_45% + -02.25,하이드레이션,2026-04-10
Si_1-Day_Color_Sph,Clalen O2O2 D_Mute Brown_45% + -02.50,누수규격,2026-04-13
Si_1-Day_Color_Sph,Clalen O2O2 D_Mute Brown_45% + -02.50,분리,2026-04-09
Si_1-Day_Color_Sph,Clalen O2O2 D_Mute Brown_45% + -02.50,사출,2026-04-08
Si_1-Day_Color_Sph,Clalen O2O2 D_Mute Brown_45% + -02.50,접착,2026-04-12
Si_1-Day_Color_Sph,Clalen O2O2 D_Mute Brown_45% + -02.50,하이드레이션,2026-04-10
Si_1-Day_Color_Sph,Clalen O2O2 D_Mute Brown_45% + -02.75,누수규격,2026-04-13
Si_1-Day_Color_Sph,Clalen O2O2 D_Mute Brown_45% + -02.75,분리,2026-04-09
Si_1-Day_Color_Sph,Clalen O2O2 D_Mute Brown_45% + -02.75,사출,2026-04-08
Si_1-Day_Color_Sph,Clalen O2O2 D_Mute Brown_45% + -02.75,접착,2026-04-12
Si_1-Day_Color_Sph,Clalen O2O2 D_Mute Brown_45% + -02.75,하이드레이션,2026-04-10
Si_1-Day_Color_Sph,Clalen O2O2 D_Mute Brown_45% + -03.00,누수규격,2026-04-13
